product_slug,sku,name,description,short_description,category_slug,brand_slug,retail_price,retail_sale_price,wholesale_price,wholesale_sale_price,stock,images,attributes
dragon-quest,sku_BRD-GM-01-EXP,"Dragon Quest","An immersive tabletop adventure for 2-4 players. Brave the dungeons, defeat the dragon, and claim the treasure.","Fantasy Board Game",board-games,questgames,250.00,199.00,120.00,100.00,30,"SKU_0000012.jpg","{""type"": ""Expansion""}"
power-swing,sku_OUT-SWING-01,"Power Swing Set","Heavy-duty outdoor swing set made from powder-coated steel. Includes belt swings and a trapeze bar.","Outdoor Swing Set",outdoor-play,powerplay,3500.00,,1900.00,,3,"SKU_0000013.jpg","{""material"": ""Steel""}"
power-swing,sku_OUT-SWING-02,"Power Swing Set","Heavy-duty outdoor swing set made from powder-coated steel. Includes belt swings and a trapeze bar.","Outdoor Swing Set",outdoor-play,powerplay,5500.00,4800.00,3100.00,2800.00,2,"SKU_0000014.jpg,SKU_0000001.jpg","{""material"": ""Cedar""}"
summer-doll,sku_DLL-FSH-01,"Summer Doll","Fashion doll ready for the beach with summer accessories, removable outfit, and brushable hair.","12-inch Summer Doll",dolls-accessories,wonderkid,250.00,199.00,110.00,95.00,100,"SKU_0000015.jpg","{""hair"": ""Blonde""}"
summer-doll,sku_DLL-FSH-02,"Summer Doll","Fashion doll ready for the beach with summer accessories, removable outfit, and brushable hair.","12-inch Summer Doll",dolls-accessories,wonderkid,250.00,,110.00,,80,"SKU_0000016.jpg","{""hair"": ""Brunette""}"
vintage-map-puzzle,sku_PZL-MAP-01,"World Map Puzzle","A challenging jigsaw puzzle featuring a detailed vintage world map. High-quality cardboard construction.","1000pc Map Puzzle",puzzles,artisticflow,199.00,,85.00,,60,"SKU_0000017.jpg","{""pieces"": ""1000""}"
pro-painter-kit,sku_ART-KIT-01,"Pro Painter Set","Everything a young artist needs to start painting. Includes tubes of paint, brushes, and a wooden palette.","Artist Painting Kit",arts-crafts,artisticflow,650.00,550.00,300.00,270.00,25,"SKU_0000018.jpg,SKU_0000002.jpg","{""medium"": ""Oil""}"
pro-painter-kit,sku_ART-KIT-02,"Pro Painter Set","Everything a young artist needs to start painting. Includes tubes of paint, brushes, and a wooden palette.","Artist Painting Kit",arts-crafts,artisticflow,550.00,450.00,250.00,220.00,40,"SKU_0000019.jpg","{""medium"": ""Acrylic""}"
snuggle-bear,sku_BABY-PLUSH-01,"Snuggle Bear","Ultra-soft plush bear made from hypoallergenic materials. Perfect for bedtime comfort.","Soft Plush Bear",baby-toddler,softcuddles,180.00,,75.00,,200,"SKU_0000020.jpg","{""color"": ""Brown""}"
snuggle-bear,sku_BABY-PLUSH-02,"Snuggle Bear","Ultra-soft plush bear made from hypoallergenic materials. Perfect for bedtime comfort.","Soft Plush Bear",baby-toddler,softcuddles,180.00,,75.00,,150,"SKU_0000021.jpg","{""color"": ""White""}"
skyline-tower,sku_BUILD-MOD-01,"Skyline Tower","An architectural marvel for your collection. This modular building features three detailed floors.","Modular City Tower",building-sets,buildit-pro,2500.00,2100.00,1400.00,1200.00,8,"SKU_0000001.jpg,SKU_0000003.jpg","{""version"": ""Standard""}"
skyline-tower,sku_BUILD-MOD-02,"Skyline Tower","An architectural marvel for your collection. This modular building features three detailed floors.","Modular City Tower",building-sets,buildit-pro,2800.00,,1500.00,,5,"SKU_0000002.jpg","{""version"": ""LED Edition""}"
nano-drone-stealth,sku_RC-DRONE-01,"Nano Drone","Lightweight and agile nano drone with 6-axis gyro for stability and LED lights for night flying.","Mini Stealth Drone",remote-control,technova,499.00,399.00,240.00,210.00,40,"SKU_0000003.jpg,SKU_0000004.jpg","{""flight_time"": ""15min""}"
nano-drone-stealth,sku_RC-DRONE-02,"Nano Drone","Lightweight and agile nano drone with 6-axis gyro for stability and LED lights for night flying.","Mini Stealth Drone",remote-control,technova,499.00,,240.00,,35,"SKU_0000004.jpg","{""flight_time"": ""20min""}"
junior-chemist,sku_EDU-LAB-01,"Junior Chemist Kit","Safe chemistry kit with 50 experiments to spark interest in science and discovery.","50-Exp Science Kit",educational-toys,greenearth-play,450.00,350.00,200.00,180.00,100,"SKU_0000005.jpg","{""experiments"": ""50""}"
galactic-conquest,sku_BOARD-EPI-01,"Galactic Conquest","Strategy game of space exploration and empire building for up to 6 players.","Space Strategy Game",board-games,stellarbricks,899.00,750.00,450.00,400.00,15,"SKU_0000006.jpg,SKU_0000005.jpg","{""players"": ""2-6""}"
power-jump-tramp,sku_OUT-TRAMP-10,"Power Jump Trampoline","High-density safety net and thick padded spring covers for safe backyard fun.","Safety Trampoline",outdoor-play,powerplay,4500.00,3999.00,2200.00,2000.00,5,"SKU_0000007.jpg","{""size"": ""10ft""}"
power-jump-tramp,sku_OUT-TRAMP-12,"Power Jump Trampoline","High-density safety net and thick padded spring covers for safe backyard fun.","Safety Trampoline",outdoor-play,powerplay,5500.00,4999.00,2800.00,2500.00,4,"SKU_0000008.jpg","{""size"": ""12ft""}"
power-jump-tramp,sku_OUT-TRAMP-14,"Power Jump Trampoline","High-density safety net and thick padded spring covers for safe backyard fun.","Safety Trampoline",outdoor-play,powerplay,6500.00,5999.00,3400.00,3100.00,3,"SKU_0000009.jpg","{""size"": ""14ft""}"
solar-system-3d,sku_PZL-SOLAR-01,"Solar System 3D","Assemble and display the solar system. Pieces glow in the dark for a stunning night view.","Glow 3D Puzzle",puzzles,stellarbricks,350.00,280.00,160.00,140.00,25,"SKU_0000010.jpg,SKU_0000006.jpg","{""features"": ""Glow""}"
clay-master,sku_ART-SCULP-01,"Clay Master Kit","Professional-grade sculpting clay and tools for young artists to create their own masterpieces.","Sculpting Clay Kit",arts-crafts,artisticflow,420.00,350.00,190.00,170.00,45,"SKU_0000011.jpg","{""tools"": ""8""}"
titan-mech,sku_ACT-MECH-01,"Titan Mech","A poseable robot warrior made from high-grade components. Features interchangeable weapons.","Robot Mech Warrior",action-figures,technova,799.00,,400.00,,10,"SKU_0000012.jpg,SKU_0000007.jpg","{""material"": ""Steel""}"
titan-mech,sku_ACT-MECH-02,"Titan Mech","A poseable robot warrior made from high-grade components. Features interchangeable weapons.","Robot Mech Warrior",action-figures,technova,999.00,850.00,500.00,450.00,5,"SKU_0000013.jpg","{""material"": ""Gold Plated""}"
eco-blocks,sku_BABY-WOOD-01,"Eco Wooden Blocks","Classic building blocks made from sustainably sourced wood with non-toxic natural finish.","Natural Wood Blocks",baby-toddler,greenearth-play,320.00,280.00,140.00,125.00,80,"SKU_0000014.jpg","{""style"": ""Natural""}"
eco-blocks,sku_BABY-WOOD-02,"Eco Wooden Blocks","Classic building blocks made from sustainably sourced wood with non-toxic natural finish.","Natural Wood Blocks",baby-toddler,greenearth-play,350.00,310.00,160.00,145.00,70,"SKU_0000015.jpg","{""style"": ""Pastel""}"
sea-racer-boat,sku_RC-BOAT-01,"Sea Racer","Waterproof high-speed motorboat for pond or pool racing. Features auto-righting hull.","High-Speed RC Boat",remote-control,swiftracer,680.00,599.00,310.00,280.00,18,"SKU_0000016.jpg","{""speed"": ""30kmh""}"
sea-racer-boat,sku_RC-BOAT-02,"Sea Racer","Waterproof high-speed motorboat for pond or pool racing. Features auto-righting hull.","High-Speed RC Boat",remote-control,swiftracer,780.00,699.00,360.00,330.00,12,"SKU_0000017.jpg","{""speed"": ""45kmh""}"
mars-colony,sku_BRD-GM-STR,"Mars Colony","A sci-fi strategy game focusing on resource management and base building on the Red Planet.","Mars Strategy Game",board-games,questgames,620.00,550.00,300.00,270.00,22,"SKU_0000018.jpg","{""theme"": ""Sci-Fi""}"
luxury-doll-house,sku_DLL-ACC-01,"Doll House","3-story wooden doll house featuring detailed rooms and interactive furniture pieces.","Wooden Doll House",dolls-accessories,wonderkid,2500.00,2200.00,1300.00,1100.00,5,"SKU_0000019.jpg,SKU_0000008.jpg","{""rooms"": ""6""}"
luxury-doll-house,sku_DLL-ACC-02,"Doll House","3-story wooden doll house featuring detailed rooms and interactive furniture pieces.","Wooden Doll House",dolls-accessories,wonderkid,1200.00,,650.00,,10,"SKU_0000020.jpg","{""rooms"": ""3""}"
cave-troll-mini,sku_ACT-MON-01,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,50,"SKU_0000021.jpg","{""variant"": ""A""}"
cave-troll-mini,sku_ACT-MON-02,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,45,"SKU_0000001.jpg","{""variant"": ""B""}"
cave-troll-mini,sku_ACT-MON-03,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,40,"SKU_0000002.jpg","{""variant"": ""C""}"
cave-troll-mini,sku_ACT-MON-04,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,35,"SKU_0000003.jpg","{""variant"": ""D""}"
cave-troll-mini,sku_ACT-MON-05,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,30,"SKU_0000004.jpg","{""variant"": ""E""}"
cave-troll-mini,sku_ACT-MON-06,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,25,"SKU_0000005.jpg","{""variant"": ""F""}"
cave-troll-mini,sku_ACT-MON-07,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,20,"SKU_0000006.jpg","{""variant"": ""G""}"
cave-troll-mini,sku_ACT-MON-08,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,15,"SKU_0000007.jpg","{""variant"": ""H""}"
cave-troll-mini,sku_ACT-MON-09,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,10,"SKU_0000008.jpg","{""variant"": ""I""}"
cave-troll-mini,sku_ACT-MON-10,"Cave Troll","Fantasy miniature figurine for tabletop gaming or display. Hand-sculpted look.","Fantasy Troll Mini",action-figures,questgames,280.00,220.00,120.00,100.00,5,"SKU_0000009.jpg","{""variant"": ""J""}"
coding-beginner,sku_EDU-COD-01,"Coding Cards","Learn the basics of logic and algorithms without a screen through these engaging challenge cards.","Screen-free Coding",educational-toys,wonderkid,150.00,120.00,60.00,50.00,120,"SKU_0000010.jpg","{""level"": ""Beginner""}"
coding-beginner,sku_EDU-COD-02,"Coding Cards","Learn the basics of logic and algorithms without a screen through these engaging challenge cards.","Screen-free Coding",educational-toys,wonderkid,150.00,,60.00,,100,"SKU_0000011.jpg","{""level"": ""Advanced""}"
lion-jigsaw-pzl,sku_PZL-ANM-01,"Animal Jigsaw","A vibrant 50-piece puzzle for toddlers featuring safari animals. Large, durable pieces.","50pc Animal Puzzle",puzzles,greenearth-play,120.00,99.00,50.00,40.00,90,"SKU_0000012.jpg","{""animal"": ""Lion""}"
lion-jigsaw-pzl,sku_PZL-ANM-02,"Animal Jigsaw","A vibrant 50-piece puzzle for toddlers featuring safari animals. Large, durable pieces.","50pc Animal Puzzle",puzzles,greenearth-play,120.00,,50.00,,85,"SKU_0000013.jpg","{""animal"": ""Tiger""}"
lion-jigsaw-pzl,sku_PZL-ANM-03,"Animal Jigsaw","A vibrant 50-piece puzzle for toddlers featuring safari animals. Large, durable pieces.","50pc Animal Puzzle",puzzles,greenearth-play,120.00,,50.00,,80,"SKU_0000014.jpg","{""animal"": ""Bear""}"
backyard-slide,sku_OUT-GLD-01,"Backyard Slide","6ft weather-resistant plastic slide with wide steps and handrails for safety.","Backyard Slide",outdoor-play,powerplay,1500.00,1250.00,750.00,680.00,10,"SKU_0000015.jpg","{""color"": ""Blue""}"
backyard-slide,sku_OUT-GLD-02,"Backyard Slide","6ft weather-resistant plastic slide with wide steps and handrails for safety.","Backyard Slide",outdoor-play,powerplay,1500.00,,750.00,,8,"SKU_0000016.jpg","{""color"": ""Red""}"
blank-canvas-pk,sku_ART-CAN-01,"Blank Canvas Set","Premium A3 canvases for oil and acrylic painting. Acid-free and triple-primed.","A3 Canvas Multi-pack",arts-crafts,artisticflow,220.00,180.00,100.00,85.00,60,"SKU_0000017.jpg","{""quantity"": ""5-Pack""}"
blank-canvas-pk,sku_ART-CAN-02,"Blank Canvas Set","Premium A3 canvases for oil and acrylic painting. Acid-free and triple-primed.","A3 Canvas Multi-pack",arts-crafts,artisticflow,400.00,350.00,180.00,160.00,40,"SKU_0000018.jpg","{""quantity"": ""10-Pack""}"
city-service-hq,sku_BLD-CIV-01,"Emergency Services HQ","Build your own city headquarters for police and fire services. Detailed interiors and vehicles.","City Services HQ",building-sets,stellarbricks,850.00,750.00,400.00,350.00,30,"SKU_0000019.jpg,SKU_0000009.jpg","{""type"": ""Police""}"
city-service-hq,sku_BLD-CIV-02,"Emergency Services HQ","Build your own city headquarters for police and fire services. Detailed interiors and vehicles.","City Services HQ",building-sets,stellarbricks,850.00,,400.00,,25,"SKU_0000020.jpg,SKU_0000010.jpg","{""type"": ""Fire""}"
off-road-monster,sku_RC-TRK-01,"Monster Truck","4WD monster truck with independent suspension and high-torque motor for off-road action.","Off-Road Monster Truck",remote-control,powerplay,1100.00,950.00,550.00,500.00,14,"SKU_0000021.jpg,SKU_0000011.jpg","{""scale"": ""XL""}"
off-road-monster,sku_RC-TRK-02,"Monster Truck","4WD monster truck with independent suspension and high-torque motor for off-road action.","Off-Road Monster Truck",remote-control,powerplay,450.00,380.00,200.00,180.00,25,"SKU_0000001.jpg","{""scale"": ""Mini""}"
musical-rattles,sku_BABY-TOY-01,"Musical Rattle","Gentle melodies and soft textures to stimulate sensory development in infants.","Sensory Musical Rattle",baby-toddler,wonderkid,95.00,79.00,40.00,35.00,150,"SKU_0000002.jpg","{""instrument"": ""Piano""}"
musical-rattles,sku_BABY-TOY-02,"Musical Rattle","Gentle melodies and soft textures to stimulate sensory development in infants.","Sensory Musical Rattle",baby-toddler,wonderkid,95.00,,40.00,,140,"SKU_0000003.jpg","{""instrument"": ""Drum""}"
musical-rattles,sku_BABY-TOY-03,"Musical Rattle","Gentle melodies and soft textures to stimulate sensory development in infants.","Sensory Musical Rattle",baby-toddler,wonderkid,95.00,,40.00,,130,"SKU_0000004.jpg","{""instrument"": ""Flute""}"
musical-rattles,sku_BABY-TOY-04,"Musical Rattle","Gentle melodies and soft textures to stimulate sensory development in infants.","Sensory Musical Rattle",baby-toddler,wonderkid,95.00,,40.00,,120,"SKU_0000005.jpg","{""instrument"": ""Guitar""}"
family-trivia-gm,sku_BRD-GM-FAM,"Family Trivia","A fun trivia game featuring thousands of questions across categories for players of all ages.","Family Trivia Game",board-games,questgames,320.00,250.00,140.00,120.00,55,"SKU_0000006.jpg","{""age"": ""6+""}"
doll-stroller-fold,sku_DLL-STR-01,"Doll Stroller","Easy-fold stroller designed for 12-inch dolls. Features a storage basket and sun canopy.","Folding Doll Stroller",dolls-accessories,softcuddles,380.00,320.00,160.00,140.00,30,"SKU_0000007.jpg","{""color"": ""Pink""}"
doll-stroller-fold,sku_DLL-STR-02,"Doll Stroller","Easy-fold stroller designed for 12-inch dolls. Features a storage basket and sun canopy.","Folding Doll Stroller",dolls-accessories,softcuddles,380.00,,160.00,,25,"SKU_0000008.jpg","{""color"": ""Blue""}"
spy-tech-mission,sku_ACT-SPY-01,"Spy Mission Gear","High-tech spy equipment for secret missions. Features functional electronic components.","Spy Mission Gear",action-figures,technova,299.00,249.00,130.00,110.00,100,"SKU_0000009.jpg","{""item"": ""Watch""}"
spy-tech-mission,sku_ACT-SPY-02,"Spy Mission Gear","High-tech spy equipment for secret missions. Features functional electronic components.","Spy Mission Gear",action-figures,technova,399.00,,180.00,,75,"SKU_0000010.jpg","{""item"": ""Goggles""}"
student-science,sku_EDU-MIC-01,"Student Science Kit","Explore the world with high-quality optical instruments. Includes prepared slides and accessories.","Student Science Gear",educational-toys,artisticflow,850.00,699.00,400.00,350.00,15,"SKU_0000011.jpg,SKU_0000012.jpg","{""device"": ""Microscope""}"
student-science,sku_EDU-TEL-01,"Student Science Kit","Explore the world with high-quality optical instruments. Includes prepared slides and accessories.","Student Science Gear",educational-toys,artisticflow,1200.00,999.00,600.00,550.00,10,"SKU_0000012.jpg,SKU_0000013.jpg","{""device"": ""Telescope""}"
pro-sports-balls,sku_OUT-BALL-01,"Pro Sports Ball","Durable competitive-grade sports balls designed for official match play and practice.","Pro Sports Ball",outdoor-play,powerplay,199.00,149.00,80.00,70.00,200,"SKU_0000013.jpg","{""type"": ""Soccer""}"
pro-sports-balls,sku_OUT-BALL-02,"Pro Sports Ball","Durable competitive-grade sports balls designed for official match play and practice.","Pro Sports Ball",outdoor-play,powerplay,220.00,179.00,90.00,80.00,150,"SKU_0000014.jpg","{""type"": ""Rugby""}"
landmark-3d-puzzle,sku_PZL-3D-01,"Landmark 3D Puzzle","Assemble stunning 3D replicas of world-famous landmarks. No glue required.","3D Architecture Puzzle",puzzles,buildit-pro,450.00,399.00,200.00,180.00,30,"SKU_0000015.jpg","{""model"": ""Eiffel Tower""}"
landmark-3d-puzzle,sku_PZL-3D-02,"Landmark 3D Puzzle","Assemble stunning 3D replicas of world-famous landmarks. No glue required.","3D Architecture Puzzle",puzzles,buildit-pro,450.00,,200.00,,28,"SKU_0000016.jpg","{""model"": ""Big Ben""}"
modular-custom-robot,sku_BLD-ROB-01,"Modular Robot","Build and customize your own robotic companion. Interchangeable parts for endless fun.","Customizable Robot",building-sets,technova,950.00,850.00,450.00,400.00,15,"SKU_0000017.jpg","{""parts"": ""300pc""}"
modular-custom-robot,sku_BLD-ROB-02,"Modular Robot","Build and customize your own robotic companion. Interchangeable parts for endless fun.","Customizable Robot",building-sets,technova,1100.00,,500.00,,12,"SKU_0000018.jpg","{""parts"": ""350pc""}"
creative-scratch,sku_ART-SCR-01,"Scratch Art Set","Reveal bright colors and neon effects by scratching away the black surface coating.","Creative Scratch Kit",arts-crafts,greenearth-play,85.00,69.00,35.00,30.00,300,"SKU_0000019.jpg","{""style"": ""Rainbow""}"
creative-scratch,sku_ART-SCR-02,"Scratch Art Set","Reveal bright colors and neon effects by scratching away the black surface coating.","Creative Scratch Kit",arts-crafts,greenearth-play,95.00,,40.00,,250,"SKU_0000020.jpg","{""style"": ""Neon""}"
wild-west-tabletop,sku_BRD-GM-WLD,"Wild West Poker","A classic tabletop poker game themed for the Old West. High-quality cards and chips included.","Wild West Poker Set",board-games,questgames,180.00,149.00,70.00,60.00,80,"SKU_0000021.jpg","{""players"": ""2-8""}"
rubber-bath-toys,sku_BABY-BAT-01,"Bath Toy Set","Floating toys made from BPA-free rubber. Perfect for making bath time fun for toddlers.","Floating Bath Set",baby-toddler,softcuddles,75.00,59.00,25.00,20.00,400,"SKU_0000001.jpg","{""item"": ""Duck Set""}"
plush-doll-pets,sku_DLL-PET-01,"Doll Pet Plush","Soft plush animal companions scaled for popular 12-inch fashion dolls.","Plush Doll Pet",dolls-accessories,softcuddles,120.00,99.00,50.00,40.00,100,"SKU_0000002.jpg","{""breed"": ""Retriever""}"
plush-doll-pets,sku_DLL-PET-02,"Doll Pet Plush","Soft plush animal companions scaled for popular 12-inch fashion dolls.","Plush Doll Pet",dolls-accessories,softcuddles,120.00,,50.00,,100,"SKU_0000003.jpg","{""breed"": ""Tabby""}"
indoor-micro-heli,sku_RC-HEL-01,"Micro Helicopter","Easy-to-fly micro copter with advanced stability control for indoor use.","Indoor Micro Heli",remote-control,technova,550.00,499.00,250.00,220.00,20,"SKU_0000004.jpg","{""channels"": ""3-Ch""}"
indoor-micro-heli,sku_RC-HEL-02,"Micro Helicopter","Easy-to-fly micro copter with advanced stability control for indoor use.","Indoor Micro Heli",remote-control,technova,650.00,,300.00,,15,"SKU_0000005.jpg","{""channels"": ""4-Ch""}"
archery-target-set,sku_OUT-ARC-01,"Junior Archery","Safe archery set featuring a bow, arrows with suction tips, and a freestanding target.","Junior Archery Set",outdoor-play,powerplay,450.00,380.00,200.00,180.00,35,"SKU_0000006.jpg","{""arrows"": ""3pc""}"
magnetic-tiles-set,sku_EDU-MAG-01,"Magnetic Tiles","Colorful magnetic building tiles that foster creativity and spatial awareness.","Magnetic Tiles",educational-toys,buildit-pro,650.00,550.00,300.00,270.00,40,"SKU_0000007.jpg","{""quantity"": ""50pc""}"
magnetic-tiles-set,sku_EDU-MAG-02,"Magnetic Tiles","Colorful magnetic building tiles that foster creativity and spatial awareness.","Magnetic Tiles",educational-toys,buildit-pro,1100.00,950.00,550.00,500.00,25,"SKU_0000008.jpg","{""quantity"": ""100pc""}"
medieval-knight,sku_ACT-KN-01,"Dragon Knight","Highly detailed knight figurine in medieval armor. Includes sword and shield accessories.","Dragon Knight Figure",action-figures,questgames,350.00,299.00,160.00,140.00,30,"SKU_0000009.jpg","{""armor"": ""Silver""}"
medieval-knight,sku_ACT-KN-02,"Dragon Knight","Highly detailed knight figurine in medieval armor. Includes sword and shield accessories.","Dragon Knight Figure",action-figures,questgames,380.00,329.00,180.00,160.00,20,"SKU_0000010.jpg","{""armor"": ""Gold""}"
medieval-knight,sku_ACT-KN-03,"Dragon Knight","Highly detailed knight figurine in medieval armor. Includes sword and shield accessories.","Dragon Knight Figure",action-figures,questgames,400.00,,200.00,,15,"SKU_0000011.jpg","{""armor"": ""Black""}"
wood-carving-kit,sku_ART-WD-01,"Wood Carving Set","Beginner's kit for learning wood carving. Includes tools and soft pine wood blocks.","Wood Carving Set",arts-crafts,greenearth-play,299.00,249.00,130.00,110.00,60,"SKU_0000012.jpg","{""material"": ""Pine""}"
premium-glass-chess,sku_BRD-GM-CHE,"Glass Chess Set","A beautiful chess set featuring a frosted glass board and elegant glass pieces.","Glass Chess Set",board-games,artisticflow,550.00,450.00,260.00,230.00,20,"SKU_0000013.jpg","{""material"": ""Glass""}"
wooden-shape-sort,sku_BABY-SHP-01,"Shape Sorter Cube","A traditional wooden sorting toy that helps infants identify shapes and colors.","Shape Sorter Cube",baby-toddler,greenearth-play,220.00,180.00,90.00,80.00,110,"SKU_0000014.jpg","{""shapes"": ""12""}"
traditional-train,sku_BLD-TRN-01,"Wooden Train Set","A classic 24-piece wooden railway set compatible with most standard wooden tracks.","Wooden Train Set",building-sets,greenearth-play,850.00,699.00,400.00,350.00,30,"SKU_0000015.jpg,SKU_0000016.jpg","{""length"": ""2m""}"
valiant-flyer-hero,sku_ACT-VAL-01,"Valiant Flyer","Action hero figurine designed for aerodynamics and glider play.","Valiant Flyer Hero",action-figures,technova,180.00,149.00,80.00,70.00,150,"SKU_0000017.jpg","{""v"": ""1""}"
